Country,Ladder Score,GDP,Life Expectancy,Freedom,Generosity,Year
Finland,7.808700085,10.63926697,71.9008255,0.949172199,-0.059482019,2020
Denmark,7.645599842,10.77400112,72.40250397,0.951444268,0.066201776,2020
Switzerland,7.559899807,10.97993279,74.10244751,0.921336651,0.105911039,2020
Iceland,7.504499912,10.77255917,73,0.948891878,0.246944219,2020
Norway,7.487999916,11.08780384,73.20078278,0.955750287,0.13453263,2020
Netherlands,7.448900223,10.81271172,72.30091858,0.908547819,0.20761244,2020
Sweden,7.353499889,10.75879383,72.60076904,0.939144194,0.111614622,2020
New Zealand,7.299600124,10.50094318,73.20262909,0.936217487,0.191598073,2020
Austria,7.294199944,10.7428236,73.00250244,0.899989486,0.085429221,2020
Luxembourg,7.237500191,11.45068073,72.59999847,0.90563643,-0.004620588,2020
Canada,7.23210001,10.69236851,73.60160065,0.933913231,0.124770768,2020
Australia,7.222799778,10.72059631,73.60453796,0.915431738,0.19046016,2020
United Kingdom,7.164500237,10.60013485,72.30160522,0.834743679,0.263732493,2020
Israel,7.128600121,10.41752529,73.20025635,0.747580588,0.10259372,2020
Costa Rica,7.121399879,9.658156395,71.29985046,0.934738934,-0.10242971,2020
Ireland,7.093699932,11.16097832,72.30078888,0.886982977,0.145784974,2020
Germany,7.075799942,10.7328186,72.20201874,0.867371082,0.080179386,2020
United States,6.939599991,10.92576885,68.29949951,0.842619538,0.149891734,2020
Czech Republic,6.910900116,10.40416336,70.04793549,0.818537354,-0.230861515,2020
Belgium,6.863500118,10.6736393,72.00164795,0.813582063,-0.078691199,2020
United Arab Emirates,6.790800095,11.1099987,67.08278656,0.941345513,0.123450845,2020
Malta,6.772799969,10.53383827,72.19999695,0.924911439,0.214965805,2020
France,6.663799763,10.58422279,73.80193329,0.825467646,-0.130641967,2020
Mexico,6.465000153,9.797797203,68.29902649,0.858709276,-0.175266623,2020
Taiwan Province of China,6.45539999,10.77568531,69.59999847,0.77153033,-0.073198698,2020
Uruguay,6.440100193,9.948192596,69.00254822,0.892395437,-0.101103112,2020
Saudi Arabia,6.406499863,10.79781246,66.30514526,0.854191244,-0.168695062,2020
Spain,6.400899887,10.46292686,74.40270996,0.751989543,-0.050961714,2020
Guatemala,6.398900032,8.924805641,64.8089447,0.908147573,-0.042938665,2020
Italy,6.38740015,10.48183632,73.60168457,0.66465199,-0.043460999,2020
Singapore,6.377099991,11.39552116,76.80458069,0.926645339,0.029879224,2020
Brazil,6.375599861,9.56643486,66.48016357,0.799804807,-0.101812392,2020
Slovenia,6.363399982,10.39232254,71.1029892,0.936142623,-0.080603383,2020
El Salvador,6.34829998,8.909075737,66.10826111,0.833805263,-0.121072978,2020
Kosovo,6.325200081,9.204429626,63.88555527,0.861535907,0.190933764,2020
Panama,6.304800034,10.03423405,69.60301208,0.880366504,-0.153927714,2020
Slovakia,6.280600071,10.34774971,68.90634155,0.749952674,-0.124409303,2020
Uzbekistan,6.257599831,8.740371704,65.10757446,0.974998116,0.248427153,2020
Chile,6.228499889,10.0320549,69.90061951,0.744896293,-0.065668367,2020
Bahrain,6.227300167,10.67638016,68.5,0.905855775,0.13372919,2020
Lithuania,6.215499878,10.34362602,67.29407501,0.747381449,-0.219725296,2020
Trinidad and Tobago,6.191899776,10.26000214,63.5,0.857907116,0.000526841,2020
Poland,6.186299801,10.26512432,69.31113434,0.862055779,-0.205084071,2020
Colombia,6.163400173,9.500369072,67.69958496,0.836179912,-0.161235645,2020
Cyprus,6.15899992,10.40570259,73.70222473,0.779858291,0.043731496,2020
Nicaragua,6.13710022,8.493160248,67.50717926,0.863902867,0.020959141,2020
Romania,6.123700142,10.107584,67.20723724,0.842823207,-0.19781521,2020
Kuwait,6.102099895,11.08982468,66.76764679,0.872366488,-0.100184701,2020
Mauritius,6.101299763,9.956786156,66.40434265,0.889534533,-0.018318573,2020
Kazakhstan,6.057899952,10.11465836,64.60996246,0.811601937,-0.068488635,2020
Estonia,6.021800041,10.34001732,68.60495758,0.87770915,-0.111697771,2020
Philippines,6.006000042,8.993545532,61.92676163,0.915463448,-0.105463006,2020
Hungary,6.000400066,10.24924374,67.60997009,0.718964577,-0.194323018,2020
Thailand,5.998799801,9.741791725,67.25059509,0.905063033,0.268685192,2020
Argentina,5.974699974,9.810955048,68.80380249,0.831132412,-0.194913864,2020
Honduras,5.953199863,8.424534798,67.19876862,0.870603263,0.086969115,2020
Latvia,5.949999809,10.17531967,66.8074646,0.671237648,-0.186888844,2020
Ecuador,5.925199986,9.246058464,68.50003815,0.859828949,-0.127014965,2020
Portugal,5.910900116,10.26374245,72.40202332,0.888747811,-0.220714301,2020
Jamaica,5.889800072,9.006250381,67.09999847,0.858068526,-0.125106767,2020
South Korea,5.872399807,10.51056671,73.6027298,0.612965107,-0.043404032,2020
Japan,5.870800018,10.57968903,75.00096893,0.809961379,-0.246910349,2020
Peru,5.796800137,9.456313133,68.10023499,0.824766099,-0.16238822,2020
Serbia,5.77820015,9.680980682,68.21020508,0.726495862,-0.073676221,2020
Bolivia,5.747499943,8.851115227,63.6004715,0.875873327,-0.09168113,2020
Pakistan,5.69329977,8.482727051,58.25313568,0.734833717,0.04489987,2020
Paraguay,5.692100048,9.389982224,65.63993835,0.885923445,0.007997713,2020
Dominican Republic,5.689199924,9.664880753,65.80748749,0.866202772,-0.131263286,2020
Bosnia and Herzegovina,5.674099922,9.455817223,67.80813599,0.651352704,0.098274559,2020
Moldova,5.607500076,8.776714325,65.01301575,0.721609175,-0.037741039,2020
Tajikistan,5.555699825,8.024810791,64.10459137,0.831383407,-0.025088511,2020
Montenegro,5.54610014,9.751860619,68.50534821,0.649565637,-0.075600356,2020
Russia,5.546000004,10.12887192,64.10045624,0.729892612,-0.151153743,2020
Kyrgyzstan,5.541500092,8.148405075,64.10601044,0.909374893,0.154772058,2020
Belarus,5.539899826,9.779945374,66.10433197,0.639163077,-0.164926544,2020
North Cyprus,5.53550005,10.40570259,73.70222473,0.79529351,0.000227159,2020
Greece,5.514999866,10.13232613,72.40525818,0.541345119,-0.300907373,2020
Hong Kong S.A.R. of China,5.510399818,10.9346714,76.77170563,0.779833794,0.134979904,2020
Croatia,5.504700184,10.07087517,70.21490479,0.714838803,-0.128538325,2020
Libya,5.488800049,9.789815903,62.29999924,0.773157001,-0.085054487,2020
Mongolia,5.456200123,9.412186623,62.30448532,0.693351328,0.098093867,2020
Malaysia,5.384300232,10.26251888,67.10215759,0.894626856,0.114726797,2020
Vietnam,5.353499889,8.809545517,67.9527359,0.939592957,-0.094533332,2020
Indonesia,5.285600185,9.36975193,62.15584946,0.870614409,0.519586504,2020
Ivory Coast,5.233300209,8.225561142,49.50377274,0.727909327,-0.043991156,2020
Benin,5.21600008,7.674319744,54.31246567,0.735182583,-0.003537213,2020
Maldives,5.197599888,9.518632889,70.59999847,0.853962779,0.038085498,2020
Congo (Brazzaville),5.194399834,8.536987305,57.92448044,0.719058514,-0.123674095,2020
Azerbaijan,5.164800167,9.687726974,65.50839996,0.786824107,-0.240255281,2020
Macedonia,5.159800053,9.510591507,67.50442505,0.738840938,-0.019877451,2020
Ghana,5.147999763,8.350645065,57.20398712,0.794796526,0.094170853,2020
Nepal,5.137199879,7.925357342,63.77917862,0.797565043,0.154168829,2020
Turkey,5.131800175,10.12941933,66.90281677,0.608830452,-0.171046436,2020
China,5.123899937,9.688568115,69.2891922,0.898517907,-0.18142575,2020
Turkmenistan,5.119100094,9.74803257,62.21170807,0.826457024,0.187671542,2020
Bulgaria,5.101500034,9.869318962,66.80397797,0.745178163,-0.143908441,2020
Morocco,5.094799995,8.940313339,65.89624023,0.772072434,-0.240377247,2020
Cameroon,5.084899902,8.118647575,52.7049408,0.763051808,-0.00149645,2020
Venezuela,5.053199768,8.977793694,66.50534058,0.62327832,-0.169090509,2020
Algeria,5.005099773,9.537964821,65.90517426,0.466610909,-0.121105164,2020
Senegal,4.980800152,8.118982315,59.59915161,0.690596163,-0.052335154,2020
Guinea,4.949299812,7.750990391,54.46780014,0.706846774,0.076328471,2020
Niger,4.909599781,6.842166901,53.50009537,0.759772122,0.013860817,2020
Laos,4.888599873,8.79858017,58.70992279,0.907213569,0.11137148,2020
Albania,4.882699966,9.417930603,68.70813751,0.781994224,-0.042309489,2020
Cambodia,4.848400116,8.249890327,61.52996826,0.959704638,0.051911179,2020
Bangladesh,4.832799911,8.287063599,64.50306702,0.90062499,-0.033664726,2020
Gabon,4.829299927,9.680537224,59.71533966,0.704829216,-0.222261623,2020
South Africa,4.814099789,9.403370857,56.50601196,0.759330094,-0.109777324,2020
Iraq,4.784800053,9.661095619,59.90354919,0.633182645,-0.06956476,2020
Lebanon,4.771500111,9.3617239,67.10658264,0.551357508,-0.06121527,2020
Burkina Faso,4.768700123,7.46854496,53.88945389,0.665563583,-0.019080516,2020
Gambia,4.750599861,7.321814537,55.0120163,0.733163178,0.343198717,2020
Mali,4.729300022,7.629852295,51.72698212,0.71156615,-0.044366926,2020
Nigeria,4.724100113,8.57662487,49.86190796,0.759578407,0.033745807,2020
Armenia,4.676799774,9.100476265,66.75065613,0.712017834,-0.13877961,2020
Georgia,4.672599792,9.226100922,64.49520874,0.801641524,-0.22892037,2020
Iran,4.672399998,9.813719749,66.00614929,0.647873282,0.117891103,2020
Jordan,4.633399963,9.025999069,66.79975128,0.75104779,-0.162565202,2020
Mozambique,4.623600006,7.069345951,54.20582199,0.864451885,0.032375868,2020
Kenya,4.583000183,8.02977562,60.09693146,0.829747558,0.294681519,2020
Namibia,4.571100235,9.203141212,56.50148773,0.767520964,-0.18530646,2020
Ukraine,4.56069994,9.010690689,64.60678101,0.663081884,-0.030933706,2020
Liberia,4.557899952,7.054380417,56.09631348,0.735268712,0.04227322,2020
Palestinian Territories,4.552800179,8.389223099,62.25,0.645791829,-0.162079096,2020
Uganda,4.43200016,7.500389576,55.70820236,0.731713951,0.099487431,2020
Chad,4.422699928,7.467963696,48.22053909,0.587305248,0.017834719,2020
Tunisia,4.392199993,9.314972878,66.89785767,0.593361557,-0.216413811,2020
Mauritania,4.374599934,8.233919144,57.01017761,0.551522553,-0.106008142,2020
Sri Lanka,4.327000141,9.389969826,67.20006561,0.837633669,0.081129618,2020
Congo (Kinshasa),4.31099987,6.694256306,52.90000153,0.700793564,0.083637655,2020
Swaziland,4.308100224,9.16267395,51.18823624,0.646822274,-0.19920142,2020
Myanmar,4.308000088,8.680481911,58.96171188,0.895075202,0.560663998,2020
Comoros,4.288599968,7.833630085,57.34901047,0.547612607,0.090008408,2020
Togo,4.187200069,7.357711315,54.71989822,0.649828613,0.002667875,2020
Ethiopia,4.186200142,7.509385586,58.63959122,0.740795195,0.043377332,2020
Madagascar,4.165599823,7.281685829,59.10542679,0.557574093,-0.011823639,2020
Egypt,4.151400089,9.316541672,61.78015137,0.708354175,-0.196878314,2020
Sierra Leone,3.926399946,7.26880312,50.86514282,0.715315044,0.088660747,2020
Burundi,3.775300026,6.492642403,53.40000153,0.626350224,-0.017551597,2020
Zambia,3.759399891,8.224720001,55.29937744,0.806500256,0.078037128,2020
Haiti,3.720799923,7.411329269,55.59862518,0.537825167,0.40053457,2020
Lesotho,3.652800083,7.960488319,48.00362396,0.738125861,-0.145732045,2020
India,3.573299885,8.849823952,60.21518707,0.881444871,0.057551607,2020
Malawi,3.538000107,7.062226295,57.59288788,0.803223193,0.021433279,2020
Yemen,3.527400017,7.759682655,56.72728348,0.599920273,-0.157735437,2020
Botswana,3.478899956,9.711203575,58.92445374,0.821328104,-0.250394493,2020
Tanzania,3.476200104,7.967665195,57.49607468,0.82153976,0.109668687,2020
Central African Republic,3.475899935,6.625160217,45.20000076,0.640880644,0.082410358,2020
Rwanda,3.312299967,7.600104332,61.09884644,0.900589406,0.055483952,2020
Zimbabwe,3.299200058,7.865711689,55.61725998,0.711457908,-0.072063953,2020
South Sudan,2.816600084,7.425359726,51,0.451313615,0.016518548,2020
Afghanistan,2.566900015,7.462860584,52.59000015,0.396573007,-0.0964294,2020