,index,Country,Ladder Score,Freedom,GDP,Life Expectancy,Generosity,Year,Regional indicator
0,0,Finland,7.8420000000000005,0.9490000000000001,10.775,72.0,-0.098,2021,Western Europe
1,1,Denmark,7.62,0.946,10.933,72.7,0.03,2021,Western Europe
2,2,Switzerland,7.571000000000001,0.919,11.117,74.4,0.025,2021,Western Europe
3,3,Iceland,7.553999999999999,0.955,10.878,73.0,0.16,2021,Western Europe
4,4,Netherlands,7.4639999999999995,0.9129999999999999,10.932,72.4,0.175,2021,Western Europe
5,5,Norway,7.392,0.96,11.052999999999999,73.3,0.09300000000000001,2021,Western Europe
6,6,Sweden,7.3629999999999995,0.945,10.867,72.7,0.086,2021,Western Europe
7,7,Luxembourg,7.324,0.907,11.647,72.6,-0.034,2021,Western Europe
8,8,New Zealand,7.277,0.929,10.642999999999999,73.4,0.134,2021,North America and ANZ
9,9,Austria,7.268,0.9079999999999999,10.905999999999999,73.3,0.042,2021,Western Europe
10,10,Australia,7.183,0.914,10.796,73.9,0.159,2021,North America and ANZ
11,11,Israel,7.157,0.8,10.575,73.503,0.031,2021,Middle East and North Africa
12,12,Germany,7.155,0.875,10.873,72.5,0.011000000000000001,2021,Western Europe
13,13,Canada,7.103,0.915,10.776,73.8,0.08900000000000001,2021,North America and ANZ
14,14,Ireland,7.085,0.879,11.342,72.4,0.077,2021,Western Europe
15,15,Costa Rica,7.069,0.934,9.88,71.4,-0.126,2021,Latin America and Caribbean
16,16,United Kingdom,7.064,0.8590000000000001,10.707,72.5,0.233,2021,Western Europe
17,17,Czech Republic,6.965,0.858,10.556,70.807,-0.20800000000000002,2021,Central and Eastern Europe
18,18,United States,6.9510000000000005,0.8370000000000001,11.023,68.2,0.098,2021,North America and ANZ
19,19,Belgium,6.834,0.7829999999999999,10.823,72.199,-0.153,2021,Western Europe
20,20,France,6.69,0.8220000000000001,10.704,74.0,-0.147,2021,Western Europe
21,21,Bahrain,6.647,0.925,10.669,69.495,0.08900000000000001,2021,Middle East and North Africa
22,22,Malta,6.602,0.927,10.674000000000001,72.2,0.133,2021,Western Europe
23,23,Taiwan,6.584,0.784,10.870999999999999,69.6,-0.07,2021,East Asia
24,24,United Arab Emirates,6.561,0.932,11.085,67.333,0.07400000000000001,2021,Middle East and North Africa
25,25,Saudi Arabia,6.494,0.877,10.743,66.60300000000001,-0.149,2021,Middle East and North Africa
26,26,Spain,6.4910000000000005,0.7609999999999999,10.571,74.7,-0.081,2021,Western Europe
27,27,Italy,6.483,0.693,10.623,73.8,-0.084,2021,Western Europe
28,28,Slovenia,6.461,0.9490000000000001,10.529000000000002,71.4,-0.10099999999999999,2021,Central and Eastern Europe
29,29,Guatemala,6.435,0.9059999999999999,9.052999999999999,64.958,-0.038,2021,Latin America and Caribbean
30,30,Uruguay,6.431,0.8959999999999999,9.966000000000001,69.1,-0.092,2021,Latin America and Caribbean
31,31,Singapore,6.377000000000001,0.927,11.488,76.953,-0.018000000000000002,2021,Southeast Asia
32,32,Kosovo,6.372000000000001,0.8690000000000001,9.318,63.813,0.257,2021,Central and Eastern Europe
33,33,Slovakia,6.331,0.7659999999999999,10.369000000000002,69.20100000000001,-0.124,2021,Central and Eastern Europe
34,34,Brazil,6.33,0.804,9.577,66.601,-0.071,2021,Latin America and Caribbean
35,35,Mexico,6.317,0.862,9.859,68.597,-0.147,2021,Latin America and Caribbean
36,36,Jamaica,6.309,0.89,9.186,67.5,-0.13699999999999998,2021,Latin America and Caribbean
37,37,Lithuania,6.255,0.773,10.499,67.906,-0.203,2021,Central and Eastern Europe
38,38,Cyprus,6.223,0.763,10.575999999999999,73.898,-0.015,2021,Western Europe
39,39,Estonia,6.189,0.909,10.481,68.8,-0.106,2021,Central and Eastern Europe
40,40,Panama,6.18,0.872,10.35,69.652,-0.166,2021,Latin America and Caribbean
41,41,Uzbekistan,6.178999999999999,0.97,8.836,65.255,0.311,2021,Commonwealth of Independent States
42,42,Chile,6.172000000000001,0.742,10.071,70.0,-0.044000000000000004,2021,Latin America and Caribbean
43,43,Poland,6.166,0.841,10.382,69.702,-0.165,2021,Central and Eastern Europe
44,44,Kazakhstan,6.152,0.853,10.155,65.2,-0.069,2021,Commonwealth of Independent States
45,45,Romania,6.14,0.845,10.284,67.355,-0.21899999999999997,2021,Central and Eastern Europe
46,46,Kuwait,6.106,0.867,10.817,66.9,-0.10400000000000001,2021,Middle East and North Africa
47,47,Serbia,6.077999999999999,0.778,9.787,68.6,0.002,2021,Central and Eastern Europe
48,48,El Salvador,6.061,0.888,9.054,66.402,-0.11,2021,Latin America and Caribbean
49,49,Mauritius,6.0489999999999995,0.867,10.008,66.70100000000001,-0.054000000000000006,2021,Sub-Saharan Africa
50,50,Latvia,6.032,0.715,10.315,67.1,-0.162,2021,Central and Eastern Europe
51,51,Colombia,6.0120000000000005,0.8370000000000001,9.557,68.001,-0.135,2021,Latin America and Caribbean
52,52,Hungary,5.992000000000001,0.755,10.357999999999999,68.0,-0.18600000000000003,2021,Central and Eastern Europe
53,53,Thailand,5.985,0.884,9.805,67.40100000000001,0.287,2021,Southeast Asia
54,54,Nicaragua,5.972,0.836,8.62,67.657,0.02,2021,Latin America and Caribbean
55,55,Japan,5.94,0.7959999999999999,10.610999999999999,75.1,-0.258,2021,East Asia
56,56,Argentina,5.928999999999999,0.828,9.962,69.0,-0.182,2021,Latin America and Caribbean
57,57,Portugal,5.928999999999999,0.892,10.421,72.6,-0.244,2021,Western Europe
58,58,Honduras,5.919,0.857,8.648,67.3,0.081,2021,Latin America and Caribbean
59,59,Croatia,5.882000000000001,0.754,10.217,70.79899999999999,-0.11800000000000001,2021,Central and Eastern Europe
60,60,Philippines,5.88,0.917,9.076,62.0,-0.09699999999999999,2021,Southeast Asia
61,61,South Korea,5.845,0.672,10.651,73.9,-0.083,2021,East Asia
62,62,Peru,5.84,0.8220000000000001,9.458,68.25,-0.154,2021,Latin America and Caribbean
63,63,Bosnia and Herzegovina,5.813,0.706,9.59,68.098,0.113,2021,Central and Eastern Europe
64,64,Moldova,5.766,0.8220000000000001,9.454,65.699,-0.079,2021,Commonwealth of Independent States
65,65,Ecuador,5.763999999999999,0.8420000000000001,9.312999999999999,68.8,-0.124,2021,Latin America and Caribbean
66,66,Kyrgyzstan,5.744,0.935,8.538,64.40100000000001,0.11900000000000001,2021,Commonwealth of Independent States
67,67,Greece,5.723,0.5820000000000001,10.279000000000002,72.6,-0.28800000000000003,2021,Western Europe
68,68,Bolivia,5.716,0.875,9.046,63.901,-0.077,2021,Latin America and Caribbean
69,69,Mongolia,5.6770000000000005,0.708,9.4,62.5,0.11599999999999999,2021,East Asia
70,70,Paraguay,5.653,0.8759999999999999,9.448,65.9,0.027999999999999997,2021,Latin America and Caribbean
71,71,Montenegro,5.581,0.708,9.94,68.699,-0.034,2021,Central and Eastern Europe
72,72,Dominican Republic,5.545,0.86,9.802,66.102,-0.133,2021,Latin America and Caribbean
73,73,North Cyprus,5.5360000000000005,0.795,10.575999999999999,73.898,0.012,2021,Western Europe
74,74,Belarus,5.534,0.65,9.853,66.253,-0.18,2021,Commonwealth of Independent States
75,75,Russia,5.477,0.718,10.189,64.703,-0.111,2021,Commonwealth of Independent States
76,76,Hong Kong,5.477,0.7170000000000001,11.0,76.82,0.067,2021,East Asia
77,77,Tajikistan,5.466,0.8320000000000001,8.091000000000001,64.281,-0.055999999999999994,2021,Commonwealth of Independent States
78,78,Vietnam,5.4110000000000005,0.94,8.972999999999999,68.03399999999999,-0.098,2021,Southeast Asia
79,79,Libya,5.41,0.7709999999999999,9.622,62.3,-0.087,2021,Middle East and North Africa
80,80,Malaysia,5.3839999999999995,0.895,10.238,67.102,0.125,2021,Southeast Asia
81,81,Indonesia,5.345,0.873,9.365,62.236000000000004,0.542,2021,Southeast Asia
82,82,Congo (Brazzaville),5.3420000000000005,0.695,8.117,58.221000000000004,-0.068,2021,Sub-Saharan Africa
83,83,China,5.3389999999999995,0.904,9.673,69.593,-0.146,2021,East Asia
84,84,Ivory Coast,5.306,0.741,8.551,50.114,-0.016,2021,Sub-Saharan Africa
85,85,Armenia,5.2829999999999995,0.825,9.487,67.055,-0.168,2021,Commonwealth of Independent States
86,86,Nepal,5.269,0.782,8.12,64.233,0.152,2021,South Asia
87,87,Bulgaria,5.266,0.7879999999999999,10.016,67.0,-0.096,2021,Central and Eastern Europe
88,88,Maldives,5.1979999999999995,0.8540000000000001,9.826,70.6,0.024,2021,South Asia
89,89,Azerbaijan,5.171,0.8140000000000001,9.568999999999999,65.656,-0.223,2021,Commonwealth of Independent States
90,90,Cameroon,5.142,0.731,8.189,53.515,0.026000000000000002,2021,Sub-Saharan Africa
91,91,Senegal,5.132000000000001,0.695,8.118,59.802,-0.046,2021,Sub-Saharan Africa
92,92,Albania,5.117,0.785,9.52,68.999,-0.03,2021,Central and Eastern Europe
93,93,Macedonia,5.101,0.7509999999999999,9.693,65.47399999999999,0.038,2021,Central and Eastern Europe
94,94,Ghana,5.088,0.807,8.58,57.586000000000006,0.12300000000000001,2021,Sub-Saharan Africa
95,95,Niger,5.074,0.8059999999999999,7.098,53.78,0.018000000000000002,2021,Sub-Saharan Africa
96,96,Turkmenistan,5.066,0.877,9.629,62.409,0.273,2021,Commonwealth of Independent States
97,97,Gambia,5.051,0.6970000000000001,7.686,55.16,0.424,2021,Sub-Saharan Africa
98,98,Benin,5.045,0.757,8.087,54.713,-0.034,2021,Sub-Saharan Africa
99,99,Laos,5.03,0.91,8.947000000000001,58.968,0.12300000000000001,2021,Southeast Asia
100,100,Bangladesh,5.025,0.877,8.454,64.8,-0.040999999999999995,2021,South Asia
101,101,Guinea,4.984,0.6970000000000001,7.837999999999999,55.008,0.095,2021,Sub-Saharan Africa
102,102,South Africa,4.956,0.7490000000000001,9.402999999999999,56.903999999999996,-0.067,2021,Sub-Saharan Africa
103,103,Turkey,4.948,0.5760000000000001,10.24,67.199,-0.139,2021,Middle East and North Africa
104,104,Pakistan,4.934,0.726,8.458,58.708999999999996,0.098,2021,South Asia
105,105,Morocco,4.918,0.774,8.902999999999999,66.208,-0.23600000000000002,2021,Middle East and North Africa
106,106,Venezuela,4.8919999999999995,0.615,9.073,66.7,-0.16899999999999998,2021,Latin America and Caribbean
107,107,Georgia,4.891,0.7829999999999999,9.585,64.3,-0.23800000000000002,2021,Commonwealth of Independent States
108,108,Algeria,4.887,0.48,9.342,66.005,-0.067,2021,Middle East and North Africa
109,109,Ukraine,4.875,0.7240000000000001,9.436,64.902,-0.011000000000000001,2021,Commonwealth of Independent States
110,110,Iraq,4.854,0.63,9.24,60.583,-0.053,2021,Middle East and North Africa
111,111,Gabon,4.852,0.731,9.603,59.961999999999996,-0.2,2021,Sub-Saharan Africa
112,112,Burkina Faso,4.834,0.695,7.678,54.151,-0.009000000000000001,2021,Sub-Saharan Africa
113,113,Cambodia,4.83,0.9590000000000001,8.36,62.0,0.034,2021,Southeast Asia
114,114,Mozambique,4.794,0.882,7.1579999999999995,54.706,0.061,2021,Sub-Saharan Africa
115,115,Nigeria,4.7589999999999995,0.737,8.533,50.102,0.037000000000000005,2021,Sub-Saharan Africa
116,116,Mali,4.723,0.6970000000000001,7.744,51.968999999999994,-0.036000000000000004,2021,Sub-Saharan Africa
117,117,Iran,4.721,0.608,9.584,66.3,0.218,2021,Middle East and North Africa
118,118,Uganda,4.636,0.7090000000000001,7.6770000000000005,56.101000000000006,0.122,2021,Sub-Saharan Africa
119,119,Liberia,4.625,0.735,7.287999999999999,56.498000000000005,0.05,2021,Sub-Saharan Africa
120,120,Kenya,4.607,0.779,8.361,60.70399999999999,0.287,2021,Sub-Saharan Africa
121,121,Tunisia,4.596,0.6559999999999999,9.266,67.20100000000001,-0.201,2021,Middle East and North Africa
122,122,Lebanon,4.584,0.525,9.626,67.355,-0.073,2021,Middle East and North Africa
123,123,Namibia,4.574,0.7190000000000001,9.161,56.799,-0.149,2021,Sub-Saharan Africa
124,124,Palestinian Territories,4.5169999999999995,0.653,8.485,62.25,-0.163,2021,Middle East and North Africa
125,125,Myanmar,4.426,0.8759999999999999,8.541,59.302,0.509,2021,Southeast Asia
126,126,Jordan,4.395,0.755,9.182,67.0,-0.16699999999999998,2021,Middle East and North Africa
127,127,Chad,4.355,0.579,7.364,48.478,0.040999999999999995,2021,Sub-Saharan Africa
128,128,Sri Lanka,4.325,0.841,9.47,67.29899999999999,0.079,2021,South Asia
129,129,Swaziland,4.308,0.647,9.065,50.833,-0.185,2021,Sub-Saharan Africa
130,130,Comoros,4.289,0.5479999999999999,8.031,57.349,0.08199999999999999,2021,Sub-Saharan Africa
131,131,Egypt,4.283,0.7490000000000001,9.367,61.998000000000005,-0.182,2021,Middle East and North Africa
132,132,Ethiopia,4.275,0.752,7.694,59.0,0.08199999999999999,2021,Sub-Saharan Africa
133,133,Mauritania,4.227,0.561,8.542,57.161,-0.106,2021,Sub-Saharan Africa
134,134,Madagascar,4.208,0.552,7.396,59.305,-0.005,2021,Sub-Saharan Africa
135,135,Togo,4.107,0.619,7.362,54.913999999999994,0.032,2021,Sub-Saharan Africa
136,136,Zambia,4.073,0.782,8.145,55.809,0.061,2021,Sub-Saharan Africa
137,137,Sierra Leone,3.8489999999999998,0.7170000000000001,7.434,51.651,0.084,2021,Sub-Saharan Africa
138,138,India,3.819,0.893,8.755,60.633,0.08900000000000001,2021,South Asia
139,139,Burundi,3.775,0.626,6.635,53.4,-0.024,2021,Sub-Saharan Africa
140,140,Yemen,3.658,0.602,7.577999999999999,57.122,-0.147,2021,Middle East and North Africa
141,141,Tanzania,3.623,0.833,7.876,57.998999999999995,0.183,2021,Sub-Saharan Africa
142,142,Haiti,3.615,0.593,7.477,55.7,0.42200000000000004,2021,Latin America and Caribbean
143,143,Malawi,3.6,0.78,6.957999999999999,57.948,0.038,2021,Sub-Saharan Africa
144,144,Lesotho,3.512,0.715,7.926,48.7,-0.131,2021,Sub-Saharan Africa
145,145,Botswana,3.467,0.8240000000000001,9.782,59.269,-0.24600000000000002,2021,Sub-Saharan Africa
146,146,Rwanda,3.415,0.897,7.676,61.4,0.061,2021,Sub-Saharan Africa
147,147,Zimbabwe,3.145,0.677,7.943,56.201,-0.047,2021,Sub-Saharan Africa
148,148,Afghanistan,2.523,0.382,7.695,52.493,-0.102,2021,South Asia
149,0,Norway,7.537000179,0.635422587,1.616463184,0.796666503,0.362012237,2017,Western Europe
150,1,Denmark,7.521999836,0.6260067220000001,1.4823830130000002,0.792565525,0.355280489,2017,Western Europe
151,2,Iceland,7.504000187000001,0.627162635,1.48063302,0.8335521220000001,0.47554022100000004,2017,Western Europe
152,3,Switzerland,7.493999958,0.620070577,1.5649795530000001,0.858131289,0.290549278,2017,Western Europe
153,4,Finland,7.468999863,0.6179508570000001,1.443571925,0.80915767,0.24548277300000002,2017,Western Europe
154,5,Netherlands,7.376999855,0.585384488,1.503944635,0.810696125,0.47048983,2017,Western Europe
155,6,Canada,7.315999985,0.611100912,1.479204416,0.834557652,0.435539722,2017,North America and ANZ
156,7,New Zealand,7.31400013,0.61406213,1.405706048,0.8167597059999999,0.500005126,2017,North America and ANZ
157,8,Sweden,7.28399992,0.612924099,1.494387269,0.830875158,0.385399252,2017,Western Europe
158,9,Australia,7.28399992,0.6016073820000001,1.484414935,0.843886793,0.47769925,2017,North America and ANZ
159,10,Israel,7.212999821,0.405988604,1.375382423,0.838404,0.330082655,2017,Middle East and North Africa
160,11,Costa Rica,7.078999996,0.58013165,1.109706283,0.759509265,0.214613229,2017,Latin America and Caribbean
161,12,Austria,7.006000042,0.56776619,1.4870972630000001,0.8153284190000001,0.316472322,2017,Western Europe
162,13,United States,6.993000031,0.5057405229999999,1.546259284,0.7742866279999999,0.392578781,2017,North America and ANZ
163,14,Ireland,6.977000237,0.573110342,1.535706639,0.809782624,0.427858323,2017,Western Europe
164,15,Germany,6.951000214,0.562511384,1.4879233840000001,0.798950732,0.33626917,2017,Western Europe
165,16,Belgium,6.890999794,0.539770722,1.463780761,0.8180918690000001,0.231503338,2017,Western Europe
166,17,Luxembourg,6.862999916000001,0.596627891,1.7419435980000002,0.845089495,0.28318098199999997,2017,Western Europe
167,18,United Kingdom,6.714000225,0.508190036,1.44163394,0.8053359390000001,0.492774159,2017,Western Europe
168,19,Chile,6.65199995,0.37689527899999997,1.25278461,0.819479704,0.32666242100000004,2017,Latin America and Caribbean
169,20,United Arab Emirates,6.647999763,0.60834527,1.626343369,0.7267982359999999,0.36094194700000004,2017,Middle East and North Africa
170,21,Brazil,6.635000229,0.437453747,1.10735321,0.616552353,0.162349895,2017,Latin America and Caribbean
171,22,Czech Republic,6.609000206,0.49094617399999996,1.352682352,0.7544440029999999,0.088106759,2017,Central and Eastern Europe
172,23,Argentina,6.598999977,0.494519204,1.1852954629999999,0.6951370840000001,0.109457061,2017,Latin America and Caribbean
173,24,Mexico,6.578000069,0.412730008,1.153183818,0.709978998,0.12099043300000001,2017,Latin America and Caribbean
174,25,Singapore,6.5720000270000005,0.549840569,1.69227767,0.949492395,0.34596598100000003,2017,Southeast Asia
175,26,Malta,6.52699995,0.588767052,1.343279839,0.8219442370000001,0.574730575,2017,Western Europe
176,27,Uruguay,6.453999996,0.5793922539999999,1.217559695,0.7192168240000001,0.17509692899999998,2017,Latin America and Caribbean
177,28,Guatemala,6.453999996,0.531310618,0.8720019459999999,0.54023999,0.283488393,2017,Latin America and Caribbean
178,29,Panama,6.452000141,0.550026834,1.233748436,0.706156135,0.210556939,2017,Latin America and Caribbean
179,30,France,6.441999912000001,0.470222116,1.430923462,0.844465852,0.129762307,2017,Western Europe
180,31,Thailand,6.423999786,0.580200732,1.127868772,0.647239029,0.57212311,2017,Southeast Asia
181,32,Taiwan,6.421999931,0.361466587,1.4336265330000002,0.7939842340000001,0.258360475,2017,East Asia
182,33,Spain,6.402999877999999,0.40878123,1.384397864,0.8889606,0.190133572,2017,Western Europe
183,34,Qatar,6.375,0.604130983,1.870765686,0.710098088,0.33047387,2017,
184,35,Colombia,6.3569998739999996,0.477487415,1.070622325,0.5950279239999999,0.149014473,2017,Latin America and Caribbean
185,36,Saudi Arabia,6.343999863,0.449750572,1.530623555,0.59014833,0.14761601400000002,2017,Middle East and North Africa
186,37,Trinidad and Tobago,6.168000221000001,0.518630743,1.361355901,0.519983292,0.325296462,2017,Latin America and Caribbean
187,38,Kuwait,6.105000018999999,0.49633759299999997,1.6329524519999998,0.632105708,0.22828979800000002,2017,Middle East and North Africa
188,39,Slovakia,6.09800005,0.295817465,1.325393558,0.7127329109999999,0.136544481,2017,Central and Eastern Europe
189,40,Bahrain,6.086999893,0.5367469189999999,1.488412261,0.653133035,0.17266848699999998,2017,Middle East and North Africa
190,41,Malaysia,6.084000111,0.40226498200000005,1.29121542,0.618784428,0.41660893,2017,Southeast Asia
191,42,Nicaragua,6.071000099,0.447551847,0.737299204,0.653095961,0.30167421699999997,2017,Latin America and Caribbean
192,43,Ecuador,6.007999897,0.45519819899999997,1.0008203979999999,0.6856362220000001,0.150112465,2017,Latin America and Caribbean
193,44,El Salvador,6.002999783,0.43245253,0.9097844959999999,0.596018553,0.078257985,2017,Latin America and Caribbean
194,45,Poland,5.97300005,0.520342112,1.291787863,0.699475348,0.15846596699999999,2017,Central and Eastern Europe
195,46,Uzbekistan,5.971000195,0.658248663,0.786441088,0.498272628,0.415983647,2017,Commonwealth of Independent States
196,47,Italy,5.964000225,0.256450713,1.395066619,0.8531443479999999,0.17278964800000002,2017,Western Europe
197,48,Russia,5.962999821,0.37378311200000003,1.2817780970000001,0.547349334,0.052263822,2017,Commonwealth of Independent States
198,49,Belize,5.9559998510000005,0.547509372,0.9079753159999999,0.450191766,0.240015641,2017,
199,50,Japan,5.920000076,0.505625546,1.4169151780000002,0.9134758709999999,0.12057276800000001,2017,East Asia
200,51,Lithuania,5.90199995,0.234231785,1.314582348,0.62894994,0.010164656999999999,2017,Central and Eastern Europe
201,52,Algeria,5.872000217,0.233335808,1.091864467,0.6175846460000001,0.069436647,2017,Middle East and North Africa
202,53,Latvia,5.849999905,0.325707912,1.260748625,0.638566971,0.153074786,2017,Central and Eastern Europe
203,54,South Korea,5.837999821,0.257921666,1.4016784430000002,0.9002140759999999,0.206674367,2017,East Asia
204,55,Moldova,5.837999821,0.24072904899999997,0.72887063,0.589465201,0.208779126,2017,Commonwealth of Independent States
205,56,Romania,5.8249998089999995,0.45700374200000005,1.217683911,0.685158312,0.13351991800000002,2017,Central and Eastern Europe
206,57,Bolivia,5.822999954,0.558732927,0.8337565659999999,0.47363025,0.225560725,2017,Latin America and Caribbean
207,58,Turkmenistan,5.8220000270000005,0.418271929,1.130776763,0.43772608,0.24992498800000001,2017,Commonwealth of Independent States
208,59,Kazakhstan,5.818999767,0.43745428299999994,1.28455627,0.606041551,0.201964423,2017,Commonwealth of Independent States
209,60,North Cyprus,5.809999942999999,0.471203625,1.346911311,0.834647238,0.266845703,2017,Western Europe
210,61,Slovenia,5.757999897,0.572575808,1.341205955,0.790828228,0.242649093,2017,Central and Eastern Europe
211,62,Peru,5.715000152999999,0.45000287899999997,1.0352252720000001,0.6301661129999999,0.126819715,2017,Latin America and Caribbean
212,63,Mauritius,5.629000187000001,0.49124732600000004,1.189395547,0.638007462,0.360933751,2017,Sub-Saharan Africa
213,64,Cyprus,5.620999812999999,0.355111539,1.3559380769999998,0.8447147009999999,0.27125430100000003,2017,Western Europe
214,65,Estonia,5.611000061,0.47913143,1.32087934,0.695168316,0.098890811,2017,Central and Eastern Europe
215,66,Belarus,5.568999767,0.29540026199999997,1.15655756,0.637714267,0.155137509,2017,Commonwealth of Independent States
216,67,Libya,5.525000095,0.46573323,1.101803064,0.52016902,0.152073666,2017,Middle East and North Africa
217,68,Turkey,5.5,0.30074059999999997,1.1982743740000001,0.637605608,0.046693042000000004,2017,Middle East and North Africa
218,69,Paraguay,5.493000031,0.47350779200000004,0.932537317,0.579250693,0.224150658,2017,Latin America and Caribbean
219,70,Hong Kong,5.472000122000001,0.490968645,1.551674843,0.943062425,0.374465793,2017,East Asia
220,71,Philippines,5.429999828,0.5852146739999999,0.857699215,0.468009055,0.19351342300000002,2017,Southeast Asia
221,72,Serbia,5.394999981000001,0.208715528,1.069317579,0.650784671,0.220125884,2017,Central and Eastern Europe
222,73,Jordan,5.335999966,0.418421149,0.9910123940000001,0.604590058,0.17217046,2017,Middle East and North Africa
223,74,Hungary,5.323999882,0.175863519,1.286011934,0.687763453,0.078401662,2017,Central and Eastern Europe
224,75,Jamaica,5.31099987,0.474307239,0.9255793090000001,0.641022384,0.233818337,2017,Latin America and Caribbean
225,76,Croatia,5.293000221000001,0.255772293,1.222556233,0.7012885209999999,0.248002976,2017,Central and Eastern Europe
226,77,Kosovo,5.278999805,0.260287941,0.9514843820000001,0.54145205,0.319931448,2017,Central and Eastern Europe
227,78,China,5.2729997630000005,0.472787708,1.0811657909999999,0.741415501,0.028806841,2017,East Asia
228,79,Pakistan,5.269000053,0.23521526199999998,0.7268835309999999,0.402047783,0.31544601899999997,2017,South Asia
229,80,Indonesia,5.262000083999999,0.443323463,0.995538592,0.492345721,0.6117045879999999,2017,Southeast Asia
230,81,Venezuela,5.25,0.153997123,1.128431201,0.617144227,0.06501963,2017,Latin America and Caribbean
231,82,Montenegro,5.236999989,0.194989055,1.121129036,0.667464674,0.197911024,2017,Central and Eastern Europe
232,83,Morocco,5.235000134,0.408158332,0.878114581,0.597710669,0.032209955,2017,Middle East and North Africa
233,84,Azerbaijan,5.234000206,0.398155838,1.153601766,0.540775776,0.04526934,2017,Commonwealth of Independent States
234,85,Dominican Republic,5.230000018999999,0.552589834,1.0793738370000001,0.574873745,0.18696785,2017,Latin America and Caribbean
235,86,Greece,5.2270002369999995,0.09573125099999999,1.2894874809999999,0.810198903,0.0,2017,Western Europe
236,87,Lebanon,5.224999905,0.288515985,1.0749875309999999,0.735081077,0.264450759,2017,Middle East and North Africa
237,88,Portugal,5.195000172,0.4984653,1.315175295,0.7958435420000001,0.095102713,2017,Western Europe
238,89,Bosnia and Herzegovina,5.18200016,0.204403177,0.9824094179999999,0.7051863070000001,0.328867495,2017,Central and Eastern Europe
239,90,Honduras,5.181000233,0.34807986,0.730573118,0.58256948,0.236188874,2017,Latin America and Caribbean
240,91,Macedonia,5.1750001910000005,0.325905979,1.0645779370000001,0.644948184,0.253760964,2017,Central and Eastern Europe
241,92,Somalia,5.151000023,0.602126956,0.022643184,0.11398913699999999,0.291631311,2017,
242,93,Vietnam,5.073999882,0.571055591,0.788547575,0.652168989,0.234968051,2017,Southeast Asia
243,94,Nigeria,5.073999882,0.394952565,0.783756256,0.05691573,0.23094719600000002,2017,Sub-Saharan Africa
244,95,Tajikistan,5.040999889,0.47156670700000003,0.524713635,0.529235125,0.248997644,2017,Commonwealth of Independent States
245,96,Bhutan,5.011000156000001,0.5015376810000001,0.8854163890000001,0.495879292,0.474054545,2017,
246,97,Kyrgyzstan,5.004000187,0.454943389,0.596220076,0.5534577970000001,0.428580374,2017,Commonwealth of Independent States
247,98,Nepal,4.961999893,0.44030594799999995,0.47982019200000003,0.504130781,0.394096166,2017,South Asia
248,99,Mongolia,4.954999924,0.394143969,1.0272358659999998,0.557783484,0.33846423,2017,East Asia
249,100,South Africa,4.828999996,0.479246736,1.054698706,0.18708007,0.13936238,2017,Sub-Saharan Africa
250,101,Tunisia,4.804999828,0.28968069,1.007265806,0.613212049,0.049693357,2017,Middle East and North Africa
251,102,Palestinian Territories,4.775000095,0.254711062,0.716249228,0.565666974,0.114173174,2017,Middle East and North Africa
252,103,Egypt,4.735000134,0.282110155,0.989701807,0.520187259,0.128631443,2017,Middle East and North Africa
253,104,Bulgaria,4.714000225,0.289231718,1.161459088,0.70821768,0.11317769400000001,2017,Central and Eastern Europe
